Season,Location,Count,SD,ReferenceLetter
1959,SSI,--,,
1966,SSI,--,,
1971,SSI,--,,
1973,SSI,--,,
1987,SSI,3824d,,d
1992,SSI,6781f,,f
1993,SSI,--,,
1994,SSI,--,,
1995,SSI,--,,
1996,SSI,9530i,,i
1997,SSI,--,,
1998,SSI,--,,
1999,SSI,--,,
2000,SSI,--,,
2001,SSI,--,,
2002,SSI,10057m,,m
2003,SSI,--,,
2004,SSI,--,,
2005,SSI,--,,
2006,SSI,--,,
2007,SSI,--,,
2008,SSI,7602s,,s
2009,SSI,--,,
2010,SSI,--,,
2011,SSI,--,,
2012,SSI,--,,
2013,SSI,--,,
2014,SSI,--,,
2015,SSI,--,,
2016,SSI,--,,
2017,SSI,--,,
2018,SSI,--,,
2019,SSI,--,,
2020,SSI,--,,
1959,CS,2a,,a
1966,CS,12b,,b
1971,CS,27c,,c
1973,CS,83b,,b
1987,CS,718d,,d
1992,CS,2973e,,e
1993,CS,3672g,,g
1994,CS,3474g,,g
1995,CS,4036g,,g
1996,CS,4968h,,h
1997,CS,5689h,,h
1998,CS,4943h,,h
1999,CS,5497j,,j
2000,CS,5865k,,k
2001,CS,5951l,,l
2002,CS,6453m,,m
2003,CS,5845n,,n
2004,CS,6428o,,o
2005,CS,6032p,,p
2006,CS,5791q,,q
2007,CS,6119r,,r
2008,CS,4574s,,s
2009,CS,4598,79,
2010,CS,4007,80,
2011,CS,3677,13,
2012,CS,3328,79,
2013,CS,2796t,55,t
2014,CS,2306,21,
2015,CS,2130,23,t
2016,CS,1681,24,
2017,CS,1546t,17,t
2018,CS,1267,29,
2019,CS,1064t,25,t
2020,CS,860,11,
1959,STI,--,,
1966,STI,--,,
1971,STI,--,,
1973,STI,218b,,b
1987,STI,1875d,,d
1992,STI,2340f,,f
1993,STI,2050g,,g
1994,STI,2583g,,g
1995,STI,2083g,,g
1996,STI,2684h,,h
1997,STI,3326h,,h
1998,STI,2808h,,h
1999,STI,--,,
2000,STI,2699k,,k
2001,STI,2328l,,l
2002,STI,2124m,,m
2003,STI,--,,
2004,STI,--,,
2005,STI,--,,
2006,STI,--,,
2007,STI,--,,
2008,STI,1525s,,s
2009,STI,--,,
2010,STI,--,,
2011,STI,--,,
2012,STI,--,,
2013,STI,--,,
2014,STI,--,,
2015,STI,--,,
2016,STI,--,,
2017,STI,--,,
2018,STI,--,,
2019,STI,333t,,t
2020,STI,--,,
